wildcard;diameter;left_pair;right_pair
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write;;microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write;microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnostic*s/read;2;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettingscategories/read
microsoft.addons/*/read;2;microsoft/addons/operations/read;microsoft/addons/supportproviders/supportplantypes/read
microsoft.addon*/action;2;microsoft/addons/register/action;microsoft/addons/supportproviders/listsupportplaninfo/action
microsoft.addons/supportproviders/listsupportplaninfo/action;;microsoft.addons/supportproviders/listsupportplaninfo/action;microsoft.addons/supportproviders/listsupportplaninfo/action
microsoft.addons/*;2;microsoft/addons/operations/read;microsoft/addons/register/action
microsoft.addons/*s/read;2;microsoft/addons/operations/read;microsoft/addons/supportproviders/supportplantypes/read
microsoft.addons/supportproviders/supportplantypes/write;;microsoft.addons/supportproviders/supportplantypes/write;microsoft.addons/supportproviders/supportplantypes/write
microsoft.advisor/*/read;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.advisor/assessm*/read;2;microsoft/advisor/assessmenttypes/read;microsoft/advisor/assessments/read
microsoft.advisor/assessment*/read;2;microsoft/advisor/assessmenttypes/read;microsoft/advisor/assessments/read
microsoft.advisor*s/write;2;microsoft/advisor/assessments/write;microsoft/advisor/configurations/write
microsoft.advisor/*tions/read;2;microsoft/advisor/configurations/read;microsoft/advisor/generaterecommendations/read
microsoft.advisor/*ons/write;2;microsoft/advisor/configurations/write;microsoft/advisor/recommendations/suppressions/write
microsoft.advisor/*/action;2;microsoft/advisor/generaterecommendations/action;microsoft/advisor/recommendations/available/action
microsoft.advisor*ecommendations/read;2;microsoft/advisor/generaterecommendations/read;microsoft/advisor/recommendations/read
microsoft.advisor/metadata/read;;microsoft.advisor/metadata/read;microsoft.advisor/metadata/read
microsoft.advisor/*;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.advisor/r*/action;2;microsoft/advisor/recommendations/available/action;microsoft/advisor/register/action
microsoft.advisor/r*/read;2;microsoft/advisor/recommendations/read;microsoft/advisor/resiliencyreviews/read
