wildcard;diameter;left_pair;right_pair
microsoft.advisor/recommendations/available/action;;microsoft.advisor/recommendations/available/action;microsoft.advisor/recommendations/available/action
microsoft.advisor/*ations/read;2;microsoft/advisor/configurations/read;microsoft/advisor/generaterecommendations/read
microsoft.advisor*ns/delete;2;microsoft/advisor/recommendations/suppressions/delete;microsoft/advisor/suppressions/delete
microsoft.advisor*sions/read;2;microsoft/advisor/recommendations/suppressions/read;microsoft/advisor/suppressions/read
microsoft.adviso*ons/write;2;microsoft/advisor/configurations/write;microsoft/advisor/recommendations/suppressions/write
microsoft.advisor/*ons/write;2;microsoft/advisor/configurations/write;microsoft/advisor/recommendations/suppressions/write
microsoft.advisor/re*/action;2;microsoft/advisor/recommendations/available/action;microsoft/advisor/register/action
microsoft.advisor/r*/read;2;microsoft/advisor/recommendations/read;microsoft/advisor/resiliencyreviews/read
microsoft.advisor/*ssions/delete;2;microsoft/advisor/recommendations/suppressions/delete;microsoft/advisor/suppressions/delete
microsoft.advisor/*essions/read;2;microsoft/advisor/recommendations/suppressions/read;microsoft/advisor/suppressions/read
microsoft.advisor/*essions/write;2;microsoft/advisor/recommendations/suppressions/write;microsoft/advisor/suppressions/write
microsoft.adviso*/action;2;microsoft/advisor/generaterecommendations/action;microsoft/advisor/recommendations/available/action
microsoft.advisor/triager*/read;2;microsoft/advisor/triagerecommendations/read;microsoft/advisor/triageresources/read
microsoft.adv*/action;2;microsoft/advisor/generaterecommendations/action;microsoft/advisor/recommendations/available/action
microsoft.advisor/*/action;2;microsoft/advisor/generaterecommendations/action;microsoft/advisor/recommendations/available/action
microsoft.advisor/triage*/read;2;microsoft/advisor/triagerecommendations/read;microsoft/advisor/triageresources/read
microsoft.advisor/*ster/action;2;microsoft/advisor/register/action;microsoft/advisor/unregister/action
microsoft.advisor*s/read;2;microsoft/advisor/assessmenttypes/read;microsoft/advisor/assessments/read
microsoft.agricultureplatform*/read;2;microsoft/agricultureplatform/operations/read;microsoft/agricultureplatform/agriservices/read
microsoft.agricultureplatform/agriservices/delete;;microsoft.agricultureplatform/agriservices/delete;microsoft.agricultureplatform/agriservices/delete
microsoft.agricultureplatform/agriservices/listavailablesolutions/action;;microsoft.agricultureplatform/agriservices/listavailablesolutions/action;microsoft.agricultureplatform/agriservices/listavailablesolutions/action
microsoft.agricultureplatform/*s/read;2;microsoft/agricultureplatform/operations/read;microsoft/agricultureplatform/agriservices/read
microsoft.agricultureplatform/*s/write;2;microsoft/agricultureplatform/agriservices/write;microsoft/agricultureplatform/locations/operationstatuses/write
microsoft.agricultureplatform/locations/operationstatuses/read;;microsoft.agricultureplatform/locations/operationstatuses/read;microsoft.agricultureplatform/locations/operationstatuses/read
microsoft.agricultureplatfo*s/write;2;microsoft/agricultureplatform/agriservices/write;microsoft/agricultureplatform/locations/operationstatuses/write
microsoft.agricultureplatform*ister/action;2;microsoft/agricultureplatform/register/action;microsoft/agricultureplatform/unregister/action
microsoft.agricultureplatform*/action;2;microsoft/agricultureplatform/agriservices/listavailablesolutions/action;microsoft/agricultureplatform/register/action
microsoft.alertsmanagement/*ions/read;2;microsoft/alertsmanagement/operations/read;microsoft/alertsmanagement/alertrulerecommendations/read
microsoft.alertsmanagement/*les/delete;2;microsoft/alertsmanagement/actionrules/delete;microsoft/alertsmanagement/smartdetectoralertrules/delete
microsoft.alertsmanagement/a*s/read;2;microsoft/alertsmanagement/actionrules/read;microsoft/alertsmanagement/alertrulerecommendations/read
microsoft.alertsmanagement/*;2;microsoft/alertsmanagement/operations/read;microsoft/alertsmanagement/actionrules/delete
microsoft.alertsmanagement/aler*/read;2;microsoft/alertsmanagement/alertrulerecommendations/read;microsoft/alertsmanagement/alerts/history/read
microsoft.alertsmanagement*changestate/action;2;microsoft/alertsmanagement/alerts/changestate/action;microsoft/alertsmanagement/smartgroups/changestate/action
microsoft.alertsmanagement/alert*/read;2;microsoft/alertsmanagement/alertrulerecommendations/read;microsoft/alertsmanagement/alerts/history/read
