wildcard;diameter;left_pair;right_pair
microsoft.avs/privateclouds/hcxenterprisesites/delete;;microsoft.avs/privateclouds/hcxenterprisesites/delete;microsoft.avs/privateclouds/hcxenterprisesites/delete
microsoft.avs/privateclouds/hcxenterprisesites/read;;microsoft.avs/privateclouds/hcxenterprisesites/read;microsoft.avs/privateclouds/hcxenterprisesites/read
microsoft.avs/privateclouds/*es/write;3;microsoft/avs/privateclouds/clusters/datastores/write;microsoft/avs/privateclouds/hcxenterprisesites/write
microsoft.avs/privat*es/delete;3;microsoft/avs/privateclouds/clusters/datastores/delete;microsoft/avs/privateclouds/hcxenterprisesites/delete
microsoft.avs*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclouds/h*/write;3;microsoft/avs/privateclouds/hcxenterprisesites/write;microsoft/avs/privateclouds/hostinstances/write
microsoft.avs/privateclouds/listadmincredentials/action;;microsoft.avs/privateclouds/listadmincredentials/action;microsoft.avs/privateclouds/listadmincredentials/action
microsoft.avs/privateclouds/ope*/read;3;microsoft/avs/privateclouds/operationresults/read;microsoft/avs/privateclouds/operationstatuses/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclouds/rotatensx*d/action;3;microsoft/avs/privateclouds/rotatensxtcloudadminpassword/action;microsoft/avs/privateclouds/rotatensxtpassword/action
microsoft.avs/privateclouds/rotatensxt*rd/action;3;microsoft/avs/privateclouds/rotatensxtcloudadminpassword/action;microsoft/avs/privateclouds/rotatensxtpassword/action
microsoft.avs*/action;2;microsoft/avs/privateclouds/listadmincredentials/action;microsoft/avs/register/action
microsoft.avs/privatecl*ons/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs/*ons/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/read
microsoft.avs/privatecloud*ons/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/privateclouds/*s/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/authorizations/read
microsoft.avs/privateclouds/scriptpackages/scriptcmdlets/read;;microsoft.avs/privateclouds/scriptpackages/scriptcmdlets/read;microsoft.avs/privateclouds/scriptpackages/scriptcmdlets/read
microsoft.avs/private*ons/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
